n-digits,Grade School,Divide and Conquer,Karatsuba
763,199,543,103
764,200,540,103
765,204,539,104
766,200,545,105
767,202,548,105
768,205,543,103
769,200,544,110
770,209,545,108
771,217,573,116
772,216,546,104
773,205,547,105
774,206,550,107
775,209,546,105
776,217,543,108
777,206,545,119
778,209,550,111
779,208,545,109
780,213,543,112
781,211,556,108
782,217,547,109
783,213,544,112
784,215,548,108
785,214,548,107
786,215,543,114
787,211,543,109
788,214,541,107
789,225,572,125
790,220,559,111
791,217,556,111
792,217,550,125
793,220,548,110
794,226,547,110
795,219,548,111
796,218,547,111
797,220,551,110
798,218,547,112
799,220,546,112
800,226,545,112
801,223,548,112
802,221,550,113
803,221,550,113
804,226,554,115
805,241,552,116
806,224,547,117
807,250,595,119
808,234,563,115
809,252,546,118
810,226,568,116
811,230,558,114
812,226,547,116
813,233,546,114
814,234,547,116
815,231,549,115
816,231,553,116
817,245,557,116
818,246,553,115
819,233,546,119
820,232,555,117
821,239,549,118
822,238,554,119
823,238,552,117
824,235,554,122
825,255,627,123
826,236,562,121
827,237,548,118
828,239,551,119
829,247,564,120
830,248,590,120
831,247,553,120
832,240,558,118
833,242,556,120
834,241,550,126
835,244,560,124
836,246,550,119
837,290,551,130
838,257,570,120
839,242,557,121
840,244,550,122
841,245,553,125
842,252,632,149
843,254,556,124
844,245,552,127
845,247,551,123
846,253,547,123
847,252,574,124
848,247,558,122
849,249,559,125
850,250,558,125
851,252,588,127
852,263,572,125
853,251,551,126
854,253,555,124
855,263,554,126
856,266,554,124
857,252,559,126
858,253,553,127
859,269,612,126
860,259,551,126
861,257,560,126
862,258,566,129
863,267,556,128
864,260,546,128
865,259,546,132
866,260,551,127
867,279,558,128
868,262,570,128
869,266,563,129
870,265,556,129
871,260,553,127
872,265,563,133
873,263,550,145
874,266,554,133
875,272,555,151
876,341,595,129
877,279,552,130
878,275,551,130
879,269,561,131
880,267,551,131
881,274,562,132
882,270,555,132
883,268,553,136
884,267,555,133
885,270,550,140
886,271,552,137
887,274,552,132
888,278,554,135
889,281,551,132
890,272,560,134
891,275,550,136
892,274,564,156
893,338,553,134
894,277,554,135
895,278,555,136
896,279,558,138
897,279,554,136
898,282,561,143
899,296,560,160
900,284,592,170
901,286,576,159
902,282,559,137
903,290,560,139
904,292,569,139
905,306,576,138
906,293,560,138
907,289,555,138
908,284,588,147
909,353,565,139
910,286,559,139
911,286,567,140
912,288,556,140
913,288,566,138
914,290,577,139
915,307,559,140
916,290,569,142
917,292,561,143
918,291,572,142
919,296,572,145
920,302,564,148
921,304,570,162
922,324,566,144
923,294,557,174
924,342,725,229
925,380,637,148
926,323,619,148
927,315,631,157
928,311,612,152
929,313,610,154
930,342,600,163
931,321,654,162
932,326,635,147
933,348,642,174
934,335,641,161
935,371,602,155
936,336,583,154
937,361,594,151
938,331,672,230
939,397,688,208
940,470,912,239
941,323,635,268
942,402,1073,246
943,496,661,172
944,336,650,156
945,350,581,150
946,321,559,168
947,321,578,154
948,326,572,153
949,319,572,151
950,321,561,151
951,321,606,243
952,375,591,154
953,316,562,154
954,326,570,151
955,323,571,154
956,324,609,152
957,327,561,152
958,327,563,152
959,325,563,153
960,350,746,220
961,357,574,162
962,323,570,157
963,321,563,154
964,327,563,154
965,323,565,165
966,328,616,176
967,360,587,155
968,323,569,155
969,328,571,153
970,332,616,174
971,367,637,170
972,373,679,179
973,372,648,167
974,381,644,167
975,378,625,178
976,373,651,171
977,369,654,206
978,376,677,199
979,376,646,178
980,401,789,196
981,440,672,186
982,416,665,198
983,378,743,192
984,375,688,192
985,442,682,175
986,395,625,184
987,378,679,193
988,392,636,192
989,376
